Category ,JSON,Key ,English (John edit),Vietnamese,Korean,Thai,French,Japanese,Indonesian,German,Spanish
,common,BUTTON.MAKE_OFFER,MAKE OFFER,ĐƯA RA ĐỀ XUẤT GỌI VỐN,제안하기,"เสนอ (offer), เสนอราคา (offer price)",FAIRE UNE OFFRE,オファーを提示,BUAT PENAWARAN,ANGEBOT MACHEN,HACER OFERTA
,common,BUTTON.BUY_NOW,BUY NOW,MUA NGAY,구매하기,ตกลงซื้อ,ACHETER MAINTENANT,今すぐ購入,BELI SEKARANG,JETZT KAUFEN,COMPRAR AHORA
,common,BUTTON.PLACE_BID,PLACE BID,ĐẶT GIÁ THẦU,입찰하기,ส่งราคาประมูล,PLACER UNE OFFRE,入札,PASANG TAWARAN,GEBOT ABGEBEN,HACER PUJA
,common,MSG.NO_RESULTS_FOUND,No results found,Không tìm thấy kết quả,결과없음,ไม่พบผลลัพธ์,Aucun résultat trouvé,結果が見つかりません,Tidak ada hasil yang ditemukan,Keine Ergebnisse gefunden,No se encontraron resultados
,explore,TITLE.PRICE,Price,Giá bán,가격,ราคา,Prix,価格,Harga,Preis,Precio
Collection Detail Page,common,TABPANE.ACTIVITIES,ACTIVITIES,CÁC HOẠT ĐỘNG,활동,กิจกรรม,ACTIVITÉS,アクティビティ,AKTIVITAS,AKTIVITÄTEN,ACTIVIDADES
,common,STATS.ITEMS,Items,Các mặt hàng,아이템,ไอเทม,Articles,アイテム,Item,Artikel,Artículos
,common,STATS.OWNERS,Owners,Những chủ sở hữu,소유자,เจ้าของ,Propriétaires,オーナー,Pemilik,Besitzer,Propietarios
,common,STATS.FLOOR_PRICE,Floor Price,Giá sàn,최저가,ราคาขั้นต่ำ,Prix du plancher,最低価格,Harga Lantai,Mindestpreis,Precio mínimo
,common,STATS.FLOOR,Floor,Sàn,최저,ฐานราคา,Plancher,フロア,Lantai,Boden,Suelo
,common,STATS.TOTAL_VOLUME,Total Volume,Tổng khối lượng giao dịch,총 볼륨,ปริมาณการซื้อขายทั้งหมด,Volume total,合計取引量,Total Volume,Gesamtvolumen,Volumen total
,common,MENU.TITLE.FILTER,FILTER,LỌC,필터,ตัวกรอง,FILTRE,フィルター,FILTER,FILTER,FILTRAR
,common,MENU.NFT_TYPE.MINT,Mint,Tạo token,발행,Mint,Mint,ミント,Cetak,Prägen,Acuñar
,common,MENU.NFT_TYPE.LIST,List,Danh sách,리스트,ลงขาย,Liste,リスト,Daftar,Auflisten,Listar
,common,MENU.NFT_TYPE.OFFER,Offer,Đề xuất,제안,ข้อเสนอ,Offre,オファー,Penawaran,Angebot,Ofertar
,common,MENU.NFT_TYPE.SALE,Sale,Bán hàng,판매,"ขาย(sell), จำนวนที่ขายได้ (amount sold), ลดราคา (decrease price/promotion price)",Vente,セール,Penjualan,Verkauf,Venta
,common,MENU.NFT_TYPE.TRANSFER,Transfer,Chuyển khoản,전송,"โอน (transfer of i.e. money/custody), ทำธุกรรม (making a transaction)",Transférer,転送,Transfer,Übertragen,Transferir
,common,MENU.NFT_TYPE.AUCTION,Auction,Bán đấu giá,옥션,ประมูล (n.)/การประมูล(v.),Enchères,オークション,Lelang,Auktion,Subasta
,common,MENU.NFT_TYPE.BUY,Buy,Mua,구매,ซื้อ (v.)/ การซื้อ (n.)/ สั่งซื้อ (make an order),Acheter,購入,Beli,Kaufen,Comprar
,common,MSG.PLEASE_CONNECT_WALLET,Please connect your wallet,Vui lòng kết nối với ví của bạn!,당신의 월렛에 연결하세요!,โปรดเชื่อมต่อกระเป๋าเงินดิจิทัลของคุณ,Veuillez vous connecter à votre portefeuille !,ウォレットに接続してください！,Silakan hubungkan ke dompet Anda!,Bitte verbinden Sie Ihre Wallet!,"¡Por favor, conecta tu billetera!"
,common,TEXT.MORE,more,nhiều hơn,더 보기,แสดงมากขึ้น,plus,もっと多く,lebih banyak,mehr,más
,common,TEXT.LESS,less,ít hơn,더 적은,แสดงน้อยลง,moins,もっと少なく,lebih sedikit,weniger,menos
,common,TITLE.FILTER_NFT,Filter NFT,Lọc NFT,NFT 필터,คัดกรอง NFT,Filtre NFT,NFT フィルター,Filter NFT,NFT filtern,Filtrar NFT
Live Auction,common,TITLE.TOP_OFFER,Top Offer,Đề xuất hàng đầu,현재 최고가,"ราคาเสนอสูงที่สุด (highest price offered), ข้อเสนอสูงที่สุด (highest offer)",Meilleure offre,トップオファー,Penawaran teratas,Top-Angebot,Mejor oferta
Collections Page,common,TABPANE.COLLECTIONS,COLLECTIONS,BỘ SƯU TẬP,컬렉션,คอลเลคชั่น,COLLECTIONS,コレクション,KOLEKSI,SAMMLUNGEN,COLECCIONES
,common,TABPANE.OWNED,OWNED,SỞ HỮU,소유자,"คุณเป็นเจ้าของ (you are the owner), มีเจ้าของแล้ว (belongs to someone)",POSSÉDÉ,所有済み,DIMILIKI,BESITZT,POSEÍDAS
,common,TABPANE.CREATED,CREATED,TẠO,창작자,"สร้างสำเร็จ (created successfully), สร้าง (create v.)",CRÉÉ,作成済み,DIBUAT,ERSTELLT,CREADAS
,common,TABPANE.ACTIVITY,ACTIVITY,HOẠT ĐỘNG,활동,กิจกรรม,ACTIVITÉ,アクティビティ,AKTIVITAS,AKTIVITÄT,ACTIVIDAD
,common,TABPANE.MORE,MORE,NHIỀU HƠN,더 보기,เพิ่มเติม,PLUS,もっと,LEBIH BANYAK,MEHR,MÁS
,common,TABPANE.OFFERS_MADE,Offers Made,Phiếu mua hàng được thực hiện,제안한 입찰가,ข้อเสนอต่าง ๆ ,Offres faites,提示されたオファー,Penawaran Dibuat,Gemachte Angebote,Ofertas realizadas
,common,TABPANE.OFFERS_RECEIVED,Offers Received,Phiếu mua hàng đã nhận,받은 입찰가,ข้อเสนอที่ได้รับ,Offres reçues,受け取ったオファー,Penawaran Diterima,Erhaltene Angebote,Ofertas recibidas
,common,TABPANE.LISTING,Listings,Danh sách,등록,สินค้าที่ลงขาย,Liste des offres,出品,Daftar,Listings,Listados
,common,MSG.CONNECT_WALLET,Connect your wallet,Kết nối với ví của bạn,당신의 월렛에 연결하세요!,เชื่อมต่อกระเป๋าเงินดิจิทัล,Connectez-vous à votre portefeuille,ウォレットに接続する,Hubungkan ke dompet Anda,Verbinden Sie Ihre Wallet,Conecta a tu billetera
,common,MSG.NOT_FOUND_COLLECTION,You don't own any Collections,Bạn không sở hữu bất kỳ bộ sưu tập nào,소유한 컬렉션이 없습니다,คุณยังไม่ได้เป็นเจ้าของคอลเลคชั่น,Vous ne possédez aucune collection,コレクションを所有していません,Anda tidak memiliki koleksi apa pun,Sie besitzen keine Sammlungen,No posees ninguna colección
,common,COLLECTION,COLLECTION,BỘ SƯU TẬP,컬렉션,คอลเลคชั่น,COLLECTION,コレクション,KOLEKSI,SAMMLUNG,COLECCIÓN
,common,PLACEHOLDER.SEARCH,Search,Tìm kiếm,검색,ค้นหา,Recherche,検索,Pencarian,Suche,Buscar
,common,FROM,From:,Từ:,From:,จาก:,De :,From:,Dari,Von:,Desde:
,common,TO,To:,Đến:,To:,ถึง:,À :,To:,Ke:,Bis:,Hasta:
,common,PLACEHOLDER.SELECT_ACTIVITY_TYPES,Select activity types,Chọn loại hoạt động,활동 유형 선택,เลือกประเภทกิจกรรม,Sélectionner les types d'activité,アクティビティタイプの選択,Pilih jenis aktivitas,Wählen Sie Aktivitätstypen aus,Seleccionar tipos de actividad
,common,MENU.NFT_TYPE.TRANSFER,TRANSFER,CHUYỂN KHOẢN,전송,"โอน (transfer of i.e. money/custody), ส่งต่อ (send/forward to)",TRANSFERT,転送,TRANSFER,ÜBERTRAGEN,TRANSFERENCIA
,common,MENU.NFT_TYPE.MINT,MINT,TẠO TOKEN,민팅 ,Mint,MINT,ミント,CETAK,PRÄGEN,ACUÑACIÓN
,common,MENU.NFT_TYPE.SALE,SALE,BÁN HẠ GIÁ,판매,"ขาย(sell), จำนวนที่ขายได้ (amount sold), ลดราคา (decrease price/promotion price)",VENTE,セール,PENJUALAN,VERKAUF,VENTA
,common,MENU.NFT_TYPE.LIST,LIST,DANH SÁCH,리스트,ลงขาย,LISTE,リスト,DAFTAR,AUFLISTEN,LISTA
,common,MENU.NFT_TYPE.OFFER,OFFER,MỜI THẦU,입찰가 제안,ข้อเสนอ,OFFRE,オファー,PENAWARAN,ANGEBOT,OFERTA
,common,MENU.NFT_TYPE.AUCTION,AUCTION,BÁN ĐẤU GIÁ,경매,ประมูล (v.)/การประมูล(n.),ENCHÈRE,オークション,LELANG,AUKTION,SUBASTA
,common,MENU.NFT_TYPE.BUY,BUY,MUA,구매,ซื้อ (v.)/ การซื้อ (n.)/ สั่งซื้อ (make an order),ACHETER,購入,BELI,KAUFEN,COMPRA
,common,LOADING,Loading...,Đang tải...,로딩중...,กำลังโหลด...,Chargement...,読み込み中...,Memuat...,Laden...,Cargando...
,common,BUTTON.CANCEL_LISTING,Cancel Listing,Hủy bỏ danh sách,리스팅 취소,ยกเลิกการลงขาย,Annuler l'inscription,出品をキャンセル,Batalkan Pencatatan,Listing abbrechen,Cancelar listado
,common,DAY_AGO,days ago,ngày trước đó,일 전,1 วันที่แล้ว,il y a un jour,日前,hari yang lalu,vor einem Tag,hace un día
,common,BUTTON.CANCEL_OFFER,Cancel Offer,Hủy đề nghị,입찰가 제안 취소,ยกเลิกข้อเสนอ,Annuler l'offre,オファーをキャンセル,Batalkan Penawaran,Angebot abbrechen,Cancelar oferta
,common,TEXT.YOU,You,Bạn,회원님,คุณ,Vous,あなた,Anda,Du,Tú
,common,TEXT.MINUTES,minutes ago,một vài phút trước,분 전,ไม่กี่นาทีที่ผ่านมา,minutes avant,分前,menit yang lalu,vor einigen Minuten,hace minutos
,common,TEXT.EXPIRES,• Expires in {{day}} days,• Hết hạn sau {{day}} ngày nữa,• {{day}} 일 후 만료,กำลังจะหมดอายุในอีก {{number of days}} วัน,• Expire dans {{day}} jours,• {{day}} 日後に期限切れ,• Berakhir dalam {{day}} hari,• Läuft in {{Tag}} Tagen ab,• Expira en {{día}} días
,common,BUTTON.CANCEL,Cancel,Hủy bỏ,취소,ยกเลิก,Annuler,キャンセル,Batal,Abbrechen,Cancelar
,common,BUTTON.ACCEPT_OFFER,Accept Offer,Chấp nhận đề nghị,입찰가 동의,รับข้อเสนอ,Accepter l'offre,オファーを承認,Terima penawaran,Angebot annehmen,Aceptar oferta
,common,BUTTON.ACCEPT,Accept,Chấp nhận,동의,ยอมรับ,Accepter,承認,Terima,Annehmen,Aceptar
,common,TITLE.FILTER_HOT_COLLECTION,Filter Hot Collection,Lọc Bộ sưu tập Hot,핫 컬렉션 필터,กรองดูคอลเลคชั่นที่กำลังมาแรง,Filtrer la collection Hot,ホットコレクションフィルター,Filter Koleksi Panas,Heiße Sammlung filtern,Filtrar Colección Popular
Create Collection,collection,TITLE,Create new Collection,Tạo Bộ sưu tập mới,새로운 컬렉션 생성,สร้างคอลเลคชั่นใหม่,Créer une nouvelle collection,新しいコレクションを作成,Buat koleksi baru,Neue Sammlung erstellen,Crear nueva colección
,collection,TITLE_EDIT,Edit your Collection,Chỉnh sửa Bộ sưu tập của bạn,컬렉션 편집,ปรับเปลี่ยนคอลเลคชั่นของคุณ,Modifier votre collection,コレクションを編集,Edit Koleksi Anda,Bearbeiten Sie Ihre Sammlung,Editar tu Colección
,collection,CREATE_DESCRIPTION, ,Bộ sưu tập NFT có nghĩa là một bộ sưu tập hoặc một chuỗi các NFTS,NFT 컬렉션은 하나의 컬렉션 혹은 NFT 시리즈를 의미합니다,การสะสม NFT คือคอลเลคชั่น NFT หรือ NFT ซีรีส์ต่าง ๆ,,,,,
,collection,LOGO_IMAGE,LOGO IMAGE *,ẢNH LOGO *,로고 이미지 *,รูปโลโก้*,LOGO IMAGE *,ロゴ画像*,GAMBAR LOGO *,LOGO-BILD *,IMAGEN DEL LOGO *
,collection,IMAGE_DESCRIPTION,This image will also be used for navigation. 350 x 350 recommended. Max: 10 MB,Hình ảnh này sẽ được sử dụng để điều hướng. Kích thước 350 x 350 được khuyến nghị. Tối đa: 10 MB,이 이미지는 탐색에도 사용됩니다. 350 x 350 권장. 최대: 10MB,ภาพนี้จะใช้สำหรับการเคลื่อนไหวของคุณ แนะนำให้ใช้ภาพขนาด 350 x 305 ขนาดไฟล์ไม่เกิน 10MB,Cette image sera également utilisée pour la navigation. 350 x 350 recommandé. Max : 10 Mo,この画像はナビゲーションにも使用されます。350×350推奨。最大：10MB,Gambar ini juga akan digunakan untuk navigasi. Disarankan 350 x 350. Maksimal: 10 MB,Dieses Bild wird auch für die Navigation verwendet. 350 x 350 empfohlen. Max: 10 MB,Esta imagen también se utilizará para la navegación. Se recomienda 350 x 350. Máx: 10 MB
,collection,BANNER_IMAGE,BANNER IMAGE (OPTIONAL),ẢNH NỀN (TÙY CHỌN),배너 이미지 (선택),ภาพแบนเนอร์ (ไม่จำเป็นต้องใส่),IMAGE DE LA BANNIÈRE (EN OPTION),バナー画像 (オプション),GAMBAR SPANDUK (OPSIONAL),BANNER-BILD (OPTIONAL),IMAGEN DE BANNER (OPCIONAL)
,collection,BANNER_DESCRIPTION,"This image will apprear at the top of your Collection page. Avoid including too much text in this banner image, as the dimensions change on different devices. 1400 x 400 recommended. Max: 20 MB","Hình ảnh này sẽ xuất hiện ở đầu trang bộ sưu tập của bạn. Tránh đưa quá nhiều văn bản vào ảnh nền này, vì kích thước thay đổi trên các thiết bị khác nhau. Kích thước 1400 x 400 được khuyến nghị. Tối đa: 20 MB",이 이미지는 컬렉션 페이지 상단에 표시됩니다. 기기마다 다르게 표시되므로 이 배너 이미지에 너무 많은 텍스트를 포함하지 마십시오. 1400 x 400 권장. 최대: 20MB,ภาพนี้จะปรากฎอยู่ที่ด้านบนของหน้าคอลเลคชั่นของคุณ แนะนำไม่ใช่คำมากเกินไปเพราะว่าภาพที่แสดงบนหน้าจอต่าง ๆ ไม่เหมือนกัน แนะนำใช้ภาพขนาด 1400 x 1400 ขนาดไฟล์ไม่เกิน 20MB,"Cette image apparaîtra en haut de la page de votre collection. Évitez d'inclure trop de texte dans cette image bannière, car les dimensions changent selon les appareils. 1400 x 400 recommandé. Max : 20 Mo",この画像はコレクションページの上部に表示されます。端末によってサイズが変わるため、このバナー画像にはあまり多くのテキストを含めないでください。1400 x 400推奨。最大：20MB,"Gambar ini akan muncul di bagian atas halaman koleksi Anda. Hindari terlalu banyak teks di gambar spanduk ini, karena dimensinya berubah pada perangkat yang berbeda. Disarankan 1400 x 400. Maks: 20 MB","Dieses Bild erscheint oben auf Ihrer Sammlungsseite. Vermeiden Sie zu viel Text in diesem Banner-Bild, da sich die Abmessungen auf verschiedenen Geräten ändern. 1400 x 400 empfohlen. Max: 20 MB","Esta imagen aparecerá en la parte superior de la página de tu colección. Evita incluir demasiado texto en esta imagen de banner, ya que las dimensiones cambian en diferentes dispositivos. Se recomienda 1400 x 400. Máx: 20 MB"
,collection,UPLOAD_IMAGE_HERE,Upload image here,Tải hình ảnh tại đây,여기에 이미지 업로드,อัพโหลดภาพที่นี่,Télécharger l'image ici,ここに画像をアップロード,Unggah gambar di sini,Bild hier hochladen,Subir imagen aquí
,collection,NAME,NAME *,TÊN *,이름 *,ชื่อ*,NOM *,名前 *,NAMA *,NAME *,NOMBRE *
,collection,DESCRIPTION,DESCRIPTION,MÔ TẢ,설명,คำบรรยาย,DESCRIPTION,説明,DESKRIPSI,BESCHREIBUNG,DESCRIPCIÓN
,collection,SOCIAL_LINK,SOCIAL LINK,LIÊN KẾT TỪ MẠNG XÃ HỘI,SNS 링크,เชื่อมต่อลิงค์โซเซียลมีเดีย,LIEN SOCIAL,ソーシャルリンク,TAUTAN SOSIAL,SOZIALE LINKS,ENLACE SOCIAL
,collection,CANCEL,Cancel,Hủy bỏ,취소,ยกเลิก,Annuler,キャンセル,Batal,Abbrechen,Cancelar
,collection,SAVE,Save,Lưu,저장,บันทึก,Sauvegarder,保存,Simpan,Speichern,Guardar
,common,MSG.NOT_CONNECT_WALLET,Please connect your wallet,Bạn cần kết nối ví của mình!,회원님의 월렛 연결이 필요합니다!,ต้องเชื่อมต่อกระเป๋าเงินดิจิทัล,Veuillez connecter votre portefeuille,ウォレットを接続してください,Silakan hubungkan dompet Anda,Bitte verbinden Sie Ihre Wallet,"Por favor, conecta tu billetera"
,common,MSG.UNAUTHORIZED_CREATE_COLLECTION,Not authorized to create Collections,Bạn không được phép tạo bộ sưu tập!,회원님은 컬렉션을 생성할 권한이 없습니다!,คุณไม่ได้รับการอนุญาตให้สร้างคอลเลคชั่น,Non autorisé à créer des collections,コレクションを作成する権限がありません,Tidak diizinkan membuat koleksi,"Nicht berechtigt, Sammlungen zu erstellen",No estás autorizado para crear colecciones
,common,MSG.UNSUPPORTED_FILE,Unsupported file type,Tập tin không được hỗ trợ!,지원되지 않는 파일 형식입니다!,ไม่สามารถเปิดไฟล์ชนิดนี้!,Type de fichier non pris en charge,サポートされていないファイル形式,Jenis file tidak didukung,Nicht unterstützter Dateityp,Tipo de archivo no soportado
,common,MSG.TOO_LARGE_IMAGE,Your image is too large. Please try again.,Hình ảnh của bạn quá lớn. Hãy thử lại.,이미지 사이즈가 너무 큽니다. 다시 시도하십시오.,ภาพของคุณขนาดใหญ่เกินไป โปรดลองใหม่อีกครั้ง,Votre image est trop grande. Réessayez.,画像が大きすぎます。もう一度試してください。,Gambar Anda terlalu besar. Coba lagi.,Ihr Bild ist zu groß. Versuchen Sie es erneut.,Tu imagen es demasiado grande. Inténtalo de nuevo.
,common,MSG.NOT_NULL,{{name}} must not be blank,{{name}} không được để trống!,{{name}}은 비워둘 수 없습니다!,{{name}} ห้ามปล่อยว่าง!,{{name}} ne doit pas être laissé vide !,{{name}} は空白のままにしないでください！,{{name}} tidak boleh kosong!,{{Name}} darf nicht leer sein!,¡{{nombre}} no debe estar en blanco!
,common,MSG.REQUIRED,{{name}} is required,{{name}} là bắt buộc!,{{name}}이 필요합니다!,{{name}} โปรดกรอกข้อมูล!,{{name}} est obligatoire !,{{name}} は入力必須です！,{{name}} harus diisi!,{{Name}} ist erforderlich!,¡Se requiere {{nombre}}!
,common,MSG.INVALID_URL,Invalid website URL,Đường dẫn URL đến website không hợp lệ,잘못된 웹사이트 URL,URL ของเว็บไซต์ไม่ถูกต้อง,URL du site web non valide,無効なウェブサイトURL,URL situs web tidak valid,Ungültige Website-URL,URL del sitio web inválida
,common,MSG.NOT_OWNER,You are not the owner of this Collection,Bạn không phải là chủ sở hữu của bộ sưu tập này!,회원님은 이 컬렉션의 소유자가 아닙니다!,คุณไม่ได้เป็นเจ้าของคอนเลคชั่นนี้,Vous n'êtes pas le propriétaire de cette collection !,あなたはこのコレクションの所有者ではありません！,Anda bukan pemilik koleksi ini!,Sie sind nicht der Eigentümer dieser Sammlung!,¡No eres el propietario de esta colección!
,collection,PLACEHOLDER.NAME,Enter your display name,Nhập tên hiển thị của bạn,표시 이름을 입력하세요.,โปรดกรอกชื่อสาธารณะของคุณ,Entrez votre nom d'affichage,表示名を入力してください,Masukkan nama tampilan Anda,Geben Sie Ihren Anzeigenamen ein,Ingresa tu nombre de visualización
,common,TITLE.HOT_OFFER,Hot Offers,Ưu đãi hấp dẫn,핫 오퍼👏,โปรโมชั่นร้อน ๆ,Offres spéciales,ホットオファー,Penawaran Panas,Heiße Angebote,Ofertas populares
Create NFT,nft,TITLE.CREATE_NFT,Create new NFT,Tạo NFT mới,새로운 NFT 생성,สร้าง NFT ชิ้นใหม่,Créer un nouveau NFT,NFTを新規作成,Buat NFT baru,Neuen NFT erstellen,Crear nuevo NFT
,nft,TITLE.IMAGE_OR_VIDEO,IMAGE OR VIDEO *,HÌNH ẢNH HOẶC VIDEO *,이미지 또는 비디오 *,ภาพหรือวิดีโอ*,IMAGE OU VIDÉO *,画像または動画*,GAMBAR ATAU VIDEO *,BILD ODER VIDEO *,IMAGEN O VIDEO *
,nft,TITLE.FILES_SUPPORTED,"File types supported: JPG, PNG, GIF, MP4. Max size: 100 MB","Các loại tệp được hỗ trợ: JPG, PNG, GIF, MP4. Kích thước tối đa: 100 MB","지원되는 파일 형식: JPG, PNG, GIF, MP4. 최대 크기: 100MB","รองรับไฟล์ JPG, PNG, GIF, MP4 ขนาดไฟล์ไม่เกิน 100MB","Types de fichiers pris en charge : JPG, PNG, GIF, MP4. Taille maximale : 100 Mo",対応しているファイル形式:JPG、PNG、GIF、MP4。最大サイズ:100MB,"Jenis file yang didukung: JPG, PNG, GIF, MP4. Ukuran maks: 100 MB","Unterstützte Dateitypen: JPG, PNG, GIF, MP4. Maximale Größe: 100 MB","Tipos de archivo admitidos: JPG, PNG, GIF, MP4. Tamaño máximo: 100 MB"
,nft,BUTTON.UPLOAD_THUMBNAIL,Upload thumbnail,Tải lên hình ảnh thu nhỏ,썸네일 업로드,อัพโหลด Thumbnail,Télécharger une vignette,サムネイルをアップロード,Unggah gambar mini,Vorschaubild hochladen,Subir miniatura
,nft,BUTTON.SELECT_EXSITING,SELECT EXISTING,CHỌN NFT HIỆN CÓ,기존 NFT 선택,เลือกไฟล์ที่มีอยู่,SÉLECTIONNER L'EXISTANT,既存のものを選択,PILIH YANG SUDAH ADA,VORHANDENE AUSWÄHLEN,SELECCIONAR EXISTENTE
,nft,TITLE.SELECT_ITEM,SELECT ITEM,CHỌN PHƯƠNG TIỆN,아이템 선택,เลือกไอเทม,SÉLECTIONNER ARTICLE,アイテムを選択,PILIH ITEM,ARTIKEL AUSWÄHLEN,SELECCIONAR ARTÍCULO
,nft,TITLE.NAME,NAME *,TÊN *,이름 *,ชื่อ*,NOM *,名前 *,NAMA *,NAME *,NOMBRE *
,nft,TITLE.DESCRIPTION,DESCRIPTION,MÔ TẢ,설명,คำบรรยาย,DESCRIPTION,説明,DESKRIPSI,BESCHREIBUNG,DESCRIPCIÓN
,nft,TITLE.COLLECTION,COLLECTION *,BỘ SƯU TẬP *,컬렉션 *,คอลเลคชั่น*,COLLECTION *,コレクション *,KOLEKSI *,SAMMLUNG *,COLECCIÓN *
,nft,TITLE.PROPERTIES,PROPERTIES,TÀI SẢN,속성,คุณสมบัติ,PROPRIÉTÉS,プロパティ,PROPERTI,EIGENSCHAFTEN,PROPIEDADES
,common,PLACEHOLDER.SEARCH_TO_SELECT,Search to Select,Tìm kiếm để chọn,검색하여 선택,ค้นหาเพื่อเลือก,Rechercher pour sélectionner,検索して選択,Cari untuk Memilih,Zur Auswahl suchen,Buscar para seleccionar
,nft,TITLE.PROPERTIES_DESC,(Textual Traits That Show Up As Rectangles),(Thuộc tính văn bản hiển thị dưới dạng hình chữ nhật),(사각형으로 표시되는 텍스트 특성),(ลักษณะที่มองเห็นเป็นสี่เหลี่ยมผืนผ้า),(Traits textuels qui apparaissent sous forme de rectangles),(長方形として表示されるテキストの特徴),(Ciri-ciri Tekstual yang Muncul Sebagai Persegi Panjang),"(Textmerkmale, die als Rechtecke erscheinen)",(Traits textuales que aparecen como rectángulos)
,nft,MSG.UNAUTHORIZED_CREATE_NFT,You are not authorized to create NFTs,Bạn không được phép tạo NFT!,회원님은 NFT를 생성할 권한이 없습니다!,คุณไม่ได้รับการอนุญาตให้สร้าง NFT!,Vous n'êtes pas autorisé à créer des NFT !,NFT を作成する権限がありません！,Anda tidak diizinkan untuk membuat NFT!,"Sie sind nicht berechtigt, NFTs zu erstellen!",¡No estás autorizado para crear NFTs!
,common,MSG.REQUIRED,{{name}} is required,{{name}} là bắt buộc!,{{name}}이 필요합니다!,{{name}} โปรดกรอกข้อมูล!,{{name}} est obligatoire !,{{name}} は入力必須です！,{{name}} diperlukan!,{{name}} ist erforderlich!,¡{{nombre}} es necesario!
,common,MSG.REQUIRED,{{name}} is required,{{name}} là bắt buộc!,{{name}}이 필요합니다!,{{name}} โปรดกรอกข้อมูล!,{{name}} est obligatoire !,{{name}} は入力必須です！,{{name}} diperlukan!,{{name}} ist erforderlich!,¡{{nombre}} es necesario!
,common,MSG.REQUIRED,{{name}} is required,{{name}} là bắt buộc!,{{name}}이 필요합니다!,{{name}} โปรดกรอกข้อมูล!,{{name}} est obligatoire !,{{name}} は入力必須です！,{{name}} diperlukan!,{{name}} ist erforderlich!,¡{{nombre}} es necesario!
,nft,MSG.REQUIRED_WITH,Preview image is required with videos,Hình ảnh xem trước là bắt buộc với video!,동영상에는 미리보기 이미지가 필요합니다!,ทุกวิดีโอต้องมีภาพตัวอย่าง,L'image de prévisualisation est requise avec les vidéos !,動画にはプレビュー画像が必要です！,Pratinjau Gambar diperlukan dengan video!,Mit Videos ist ein Vorschaubild erforderlich!,¡Se requiere una imagen de previsualización con videos!
,common,MSG.REQUIRED,{{name}} is required,{{name}} là bắt buộc!,{{name}} 필요합니다!,{{name}} โปรดกรอกข้อมูล!,{{name}} est obligatoire !,{{name}} は入力必須です！,{{name}} diperlukan!,{{name}} ist erforderlich!,¡{{nombre}} es necesario!
,nft,BUTTON.ADD_PROPERTIES,Add Properties,Thêm thuộc tính,속성 추가,เพิ่มคุณสมบัติ,Ajouter des propriétés,プロパティの追加,Tambah Properti,Eigenschaften hinzufügen,Añadir propiedades
,nft,TITLE.PROPERTY_INFO,"Properties show up underneath your item, are clickable, and can be filtered in your collection's sidebar","Các thuộc tính hiển thị bên dưới, có thể nhấp và lọc trong thanh bên trong bộ sưu tập của bạn.",속성은 항목 아래에 표시되며 클릭할 수 있고 컬렉션의 사이드바에서 필터링할 수 있습니다.,คุณสมบัติที่ปรากฎด้านล่างของไอเทมสามารถคลิกได้ และสามารถกรองได้ผ่านตัวกรองของคอลเลคชั่น,"Les propriétés s'affichent sous votre article, sont cliquables et peuvent être filtrées dans la barre latérale de votre collection.",プロパティはアイテムの下に表示され、クリック可能で、コレクションのサイドバーでフィルタリングできます。,"Properti muncul di bawah item Anda, dapat diklik, dan dapat difilter di bilah sisi koleksi Anda.","Eigenschaften erscheinen unter Ihrem Artikel, sind anklickbar und können in der Seitenleiste Ihrer Sammlung gefiltert werden.","Las propiedades aparecen debajo de tu artículo, son clicables y pueden ser filtradas en la barra lateral de tu colección."
,nft,TITLE.QUANTITY,Quantity,Số lượng,수량,จำนวน,Quantité,数量,Kuantitas,Menge,Cantidad
,nft,TEXT.QUANTITY_DESCRIPTION,The number of copies that can be minted. Quantities above one have a descending gas cost. View our gas cost table for reference.,Số lượng bản sao có thể được tạo. Số lượng trên có phí Gas giảm dần. Xem bảng phí Gas để biết thêm thông tin.,발행할 수 있는 사본 수입니다. 수량이 1을 초과할수록 가스 비용이 감소합니다. 가스 비용 표를 참조하세요.,,Le nombre d'exemplaires qui peuvent être frappés. Les quantités supérieures à un ont un coût de gaz décroissant. Consultez notre tableau des coûts du gaz à titre de référence.,鋳造できるコピーの数。数量が1を超えると、ガスコストが下がります。詳しくはガス料金表をご覧ください。,Jumlah salinan yang dapat dicetak. Jumlah di atas satu memiliki biaya Gas yang menurun. Lihat tabel biaya Gas kami untuk referensi.,"Die Anzahl der Exemplare, die geprägt werden können. Mengen über eins haben sinkende Gas-Kosten. Siehe unsere Tabelle für Gas-Kosten als Referenz.",El número de copias que pueden ser acuñadas. Cantidades superiores a una tienen un coste de Gas descendente. Consulta nuestra tabla de costos de Gas para referencia.
,nft,TITLE.TYPE,Type,Loại,유형,ประเภท,Type,タイプ,Jenis,Typ,Tipo
,nft,TITLE.NAME,Name,Tên,이름,ชื่อ,Nom,名前,Nama,Name,Nombre
,nft,TITLE.ADD_MORE,Add more,Bổ sung thêm,추가,เพิ่ม,Ajouter plus,さらに追加,Tambah lagi,Mehr hinzufügen,Añadir más
,nft,MSG.MISSING_TYPE,Missing type name,Thiếu tên loại,누락된 유형 이름,ขาดชื่อประเภท,Nom du type manquant,タイプ名がありません,Nama jenis yang hilang,Typ-Name fehlt,Falta el nombre del tipo
